ticker,name,sector
SUL.AX,Super Retail Group,Consumer Discretionary
WEB.AX,Webjet,Consumer Discretionary
LNW.AX,Light & Wonder,Consumer Discretionary
TAH.AX,Tabcorp Holdings,Consumer Discretionary
EVT.AX,EVT Limited,Consumer Discretionary
IEL.AX,IDP Education,Consumer Discretionary
AX1.AX,Accent Group,Consumer Discretionary
LOV.AX,Lovisa Holdings,Consumer Discretionary
NUF.AX,Nufarm,Materials
ELD.AX,Elders,Consumer Staples
BKW.AX,Brickworks,Materials
JHG.AX,Janus Henderson Group,Financials
AMP.AX,AMP Limited,Financials
PPT.AX,Perpetual,Financials
IFL.AX,Insignia Financial,Financials
MND.AX,Monadelphous Group,Industrials
SGM.AX,Sims Limited,Materials
SVR.AX,Solvar,Financials
CNU.AX,Chorus,Communication Services
SPK.AX,Spark New Zealand,Communication Services
NEC.AX,Nine Entertainment,Communication Services
SXL.AX,Southern Cross Media,Communication Services
DHG.AX,Domain Holdings Australia,Communication Services
CCP.AX,Credit Corp Group,Financials
HLS.AX,Healius,Health Care
NHF.AX,NIB Holdings,Financials
CU6.AX,Clarity Pharmaceuticals,Health Care
MSB.AX,Mesoblast,Health Care
NAN.AX,Nanosonics,Health Care
IRE.AX,IRESS,Information Technology
LNK.AX,Link Administration Holdings,Information Technology
APX.AX,Appen,Information Technology
MP1.AX,Megaport,Information Technology
LIC.AX,Lifestyle Communities,Real Estate
INA.AX,Ingenia Communities Group,Real Estate
CQR.AX,Charter Hall Retail REIT,Real Estate
BWP.AX,BWP Trust,Real Estate
CLW.AX,Charter Hall Long WALE REIT,Real Estate
RGN.AX,Region Group,Real Estate
NSR.AX,National Storage REIT,Real Estate
HMC.AX,HMC Capital,Financials
GQG.AX,GQG Partners,Financials
PXA.AX,Pexa Group,Information Technology
LFS.AX,Latitude Group Holdings,Financials
ZIP.AX,Zip Co,Information Technology
SDF.AX,Steadfast Group,Financials
AUB.AX,AUB Group,Financials
MMS.AX,McMillan Shakespeare,Industrials
SGF.AX,SG Fleet Group,Industrials
SNL.AX,Supply Network,Industrials
SIQ.AX,Smartgroup Corporation,Industrials
NWH.AX,NRW Holdings,Industrials
PSI.AX,PSC Insurance Group,Financials
360.AX,Life360,Information Technology
DTL.AX,Data#3,Information Technology
EVS.AX,EnviroSuite,Information Technology
SLC.AX,Superloop,Communication Services
ABB.AX,Aussie Broadband,Communication Services
IMU.AX,Imugene,Health Care
PNV.AX,PolyNovo,Health Care
AVH.AX,Avita Medical,Health Care
CYC.AX,Cyclopharm,Health Care
OCL.AX,Objective Corporation,Information Technology
GTK.AX,Gentrack Group,Information Technology
FCL.AX,Fineos Corporation Holdings,Information Technology
BVS.AX,Bravura Solutions,Information Technology
WBT.AX,Weebit Nano,Information Technology
BRN.AX,BrainChip Holdings,Information Technology
NVX.AX,Novonix,Industrials
VUL.AX,Vulcan Energy Resources,Materials
CXO.AX,Core Lithium,Materials
SYA.AX,Sayona Mining,Materials
AKE.AX,Allkem,Materials
CHN.AX,Chalice Mining,Materials
29M.AX,29Metals,Materials
DRR.AX,Deterra Royalties,Materials
GMD.AX,Genesis Minerals,Materials
RSG.AX,Resolute Mining,Materials
SLR.AX,Silver Lake Resources,Materials
RMS.AX,Ramelius Resources,Materials
OBM.AX,Ora Banda Mining,Materials
VAU.AX,Vault Minerals,Materials
