ticker,name,sector,market
6503.T,Mitsubishi Electric,Industrials,Japan
6301.T,Komatsu,Industrials,Japan
7011.T,Mitsubishi Heavy Industries,Industrials,Japan
9983.T,Fast Retailing,Consumer Discretionary,Japan
4661.T,Oriental Land,Consumer Discretionary,Japan
3382.T,Seven & i Holdings,Consumer Staples,Japan
8267.T,Aeon,Consumer Staples,Japan
4901.T,Fujifilm Holdings,Health Care,Japan
6752.T,Panasonic Holdings,Consumer Discretionary,Japan
6971.T,Kyocera,Information Technology,Japan
8411.T,Mizuho Financial Group,Financials,Japan
8316.T,Sumitomo Mitsui Financial,Financials,Japan
8766.T,Tokio Marine Holdings,Financials,Japan
8591.T,ORIX,Financials,Japan
6702.T,Fujitsu,Information Technology,Japan
6954.T,Fanuc,Industrials,Japan
7741.T,Hoya,Health Care,Japan
4543.T,Terumo,Health Care,Japan
6273.T,SMC,Industrials,Japan
9022.T,Central Japan Railway,Industrials,Japan
9020.T,East Japan Railway,Industrials,Japan
2914.T,Japan Tobacco,Consumer Staples,Japan
6146.T,Disco,Information Technology,Japan
600519.SS,Kweichow Moutai,Consumer Staples,China
601398.SS,ICBC,Financials,China
601857.SS,PetroChina,Energy,China
600036.SS,China Merchants Bank,Financials,China
601288.SS,Agricultural Bank of China,Financials,China
600028.SS,Sinopec,Energy,China
601988.SS,Bank of China,Financials,China
600900.SS,China Yangtze Power,Utilities,China
601318.SS,Ping An Insurance,Financials,China
000858.SZ,Wuliangye Yibin,Consumer Staples,China
300750.SZ,CATL,Industrials,China
000333.SZ,Midea Group,Consumer Discretionary,China
002594.SZ,BYD,Consumer Discretionary,China
600276.SS,Jiangsu Hengrui Medicine,Health Care,China
601888.SS,China Tourism Group Duty Free,Consumer Discretionary,China
000651.SZ,Gree Electric,Consumer Discretionary,China
600030.SS,CITIC Securities,Financials,China
601668.SS,China State Construction,Industrials,China
600887.SS,Inner Mongolia Yili,Consumer Staples,China
002415.SZ,Hangzhou Hikvision,Information Technology,China
601899.SS,Zijin Mining,Materials,China
0857.HK,PetroChina H,Energy,Hong Kong
2628.HK,China Life Insurance,Financials,Hong Kong
0688.HK,China Overseas Land,Real Estate,Hong Kong
1109.HK,China Resources Land,Real Estate,Hong Kong
2382.HK,Sunny Optical,Information Technology,Hong Kong
9999.HK,NetEase,Communication Services,Hong Kong
9888.HK,Baidu,Communication Services,Hong Kong
1024.HK,Kuaishou,Communication Services,Hong Kong
2331.HK,Li Ning,Consumer Discretionary,Hong Kong
0175.HK,Geely Automobile,Consumer Discretionary,Hong Kong
2269.HK,Wuxi Biologics,Health Care,Hong Kong
0027.HK,Galaxy Entertainment,Consumer Discretionary,Hong Kong
